5 100
10 5 4
8 6 2
6 10 13
3 15 12
8 10 0
5 12 18
1 13 13
5 5 7
5 15 12
2 8 10
9 6 20
8 2 19
3 14 5
4 15 5
7 14 15
10 9 11
0 11 9
4 9 4
3 4 14
0 14 16
9 10 10
9 12 11
2 9 2
10 14 15
2 6 17
10 15 10
9 2 8
9 14 14
3 12 13
5 10 8
0 8 11
5 13 18
6 6 0
7 13 18
7 15 2
8 3 4
5 0 15
2 0 20
9 10 3
1 3 3
4 4 0
2 12 7
9 12 9
0 11 17
5 11 19
6 3 20
5 2 17
6 7 2
1 13 18
4 7 15
4 10 1
8 5 9
7 14 10
5 2 10
4 13 5
5 11 19
1 8 14
7 11 20
1 6 19
3 15 2
2 12 15
0 14 10
10 9 7
1 4 9
7 13 10
0 8 14
10 4 18
0 2 11
9 1 20
